!ALL BLUEPRINTS! (201) True = Pre Installed False = No Pre Installed
BASIC MATERIALS (9)	
FALSE	Cyclops Depth Module MK2
FALSE	Cyclops Depth Module MK3
FALSE	Seamoth Depth Module MK2
FALSE	Seamoth Depth Module MK3
FALSE	Prawn Suit Depth Module MK2
VEHICLE UPGRADES (17)	
FALSE	Seamoth Depth Module MK1
FALSE	Hull Reinforcement
FALSE	Engine Efficiency Module
FALSE	Storage Module
FALSE	Seamoth Solar Charger
FALSE	Seamoth Perimeter Defense System
FALSE	Seamoth Torpedo System
FALSE	Seamoth Sonar
FALSE	Prawn Suit Depth Module MK1
FALSE	Prawn Suit Thermal Reactor
FALSE	Prawn Suit Jump Jet Upgrade
FALSE	Prawn Suit Propulsion Cannon (2)
FALSE	Prawn Suit Grappling Arm (2)
FALSE	Prawn Suit Drill Arm (2)
FALSE	Prawn Suit Torpedo Arm (2)
FALSE	Vortex Torpedo
FALSE	Gas Torpedo
SCANNER ROOM UPGRADES (4)	
FALSE	Scanner Room HUD Chip
FALSE	Camera Drone
FALSE	Scanner Room Range Upgrade
FALSE	Scanner Room Speed Upgrade
CYCLOPS (4)	
FALSE	Cyclops Hull (3)
FALSE	Cyclops Bridge (3)
FALSE	Cyclops Engine (3)
FALSE	Cyclops
Cyclops Depth Module MK1
Cyclops Engine Efficiency Module
Cyclops Shield Generator
Cyclops Sonar Upgrade
Cyclops Docking Bay Repair Module
Cyclops Fire Suppression System
Cyclops Decoy Tube Upgrade
Cyclops Thermal Reactor Module
BASE PIECES (8)	
TRUE	Foundation
TRUE	I Compartment
TRUE	L Compartment
TRUE	T Compartment
TRUE	X Compartment
TRUE	I Glass Compartment
TRUE	L Glass Compartment
TRUE	Vertical Connector
BASE ROOMS (4)	
FALSE	Multipurpose Room (1)
FALSE	Scanner Room (3)
FALSE	Moonpool (2)
FALSE	Observatory (1)
BASE WALLS (3)	
TRUE	Hatch
TRUE	Window
TRUE	Reinforcement
EXTERIOR MODULES (3)	
TRUE	Solar Panel
FALSE	Thermal Plant (2)
FALSE	Power Transmitter (1)
EXTERIOR LIGHTS (2)	
FALSE	Floodlight (1)
FALSE	Spotlight (1)
EXTERIOR OTHER (2)	
FALSE	Exterior Growbed (1)
TRUE	Base-Attached Air Pump
INTERIOR INSTALLATION (4)	
TRUE	Ladder
FALSE	Water Filtration Machine (1)
FALSE	Bulkhead (1)
FALSE	Vehicle Upgrade Console
INTERIOR ROOMS (3)	
FALSE	Bioreactor (2)
FALSE	Nuclear Reactor (3)
FALSE	Alien Containment
INTERIOR MODULES (14)	
TRUE	Fabricator
TRUE	Radio
TRUE	Medical Kit Fabricator
TRUE	Wall Locker
TRUE	Locker
FALSE	Battery Charger (2)
FALSE	Power Cell Charger (2)
TRUE	Aquarium
FALSE	Modification Station (2)
FALSE	Basic Plant Pot (1)
FALSE	Composite Plant Pot (1)
FALSE	Chic Plant Pot (1)
FALSE	Indoor Growbed (1)
FALSE	Plant Shelf (1)
MISCELLANEOUS (19)	
FALSE	Bench (1)
FALSE	Basic Double Bed (1)
FALSE	Quilted Double Bed (1)
FALSE	Single Bed (1)
FALSE	Desk (1)
FALSE	Swivel Chair (1)
FALSE	Office Chair (1)
FALSE	Command Chair (1)
TRUE	Sign
FALSE	Picture Frame (1)
FALSE	Bar Table (1)
FALSE	Trash Can (1)
FALSE	Nuclear Waste Disposal (1)
FALSE	Vending Machine (1)
FALSE	Coffee Vending Machine (1)
FALSE	Counter (1)
FALSE	Wall Planter (1)
FALSE	Single Wall Shelf (1)
FALSE	Wall Shelves (1)
HULL PLATES (1)	
FALSE	An Unusual Doll (1)

!ALL DATABANK ENTRIES! (292) True = Pre Installed False = No Pre Installed
ADVANCED THEORIES (16)	
FALSE	Alien Eggs
FALSE	Bacterial Infection Report
FALSE	Enzyme Host Peeper
FALSE	Enzyme Host Peepers Leaving the Containment Facility
FALSE	Hatching Enzymes
FALSE	Hatching Enzymes Old
FALSE	Peepers Entering the Containment Facility
FALSE	Peepers Inside the Containment Facility
FALSE	Ray Species on 4546B
FALSE	Sea Dragon Egg
FALSE	Sea Emperor Egg Casing
FALSE	Sea Emperor Fetus
FALSE	Specimen with Infection Symptoms Inhibited
FALSE	Specimen with Symptoms of Infection
FALSE	The Sea Emperor's Eggs
FALSE	The Sea Emperor's Lifecycle
BLUEPRINTS (38)	
EQUIPMENT (13)	
TRUE	Air Pumps
FALSE	Creature Decoy
TRUE	Handheld Scanner
FALSE	Laser Cutter
FALSE	Light Stick
FALSE	Propulsion Cannon
FALSE	Radiation Suit
FALSE	Reinforced Dive Suit
TRUE	Repair Tool
FALSE	Repulsion Cannon
FALSE	Stasis Rifle
FALSE	Stillsuit
FALSE	Time Capsule
HABITAT INSTALLATIONS (15)	
FALSE	Alien Containment
TRUE	Aquarium
FALSE	Bulkhead Door
FALSE	Exterior Growbed
TRUE	Fabricator
FALSE	Floodlight
TRUE	Habitat Builder
FALSE	Interior Growbed
FALSE	Modification Station
FALSE	Moonpool 
FALSE	Planters & Pots
FALSE	Scanner Room
TRUE	Solar Panel
FALSE	Spotlight
FALSE	Water Filtration System
POWER (3)	
FALSE	Bioreactor
FALSE	Nuclear Reactor
FALSE	Thermal Plant
VEHICLES (6)	
FALSE	Cyclops
TRUE	Mobile Vehicle Bay
FALSE	Neptune Escape Rocket
FALSE	Prawn Suit (Mk.III)
TRUE	Seaglide
FALSE	Seamoth
DATA DOWNLOADS (110)	
ALIEN DATA (47)	
ARTIFACTS (12)	
FALSE	Alien Building Block
FALSE	Alien Carving
FALSE	Alien Rifle
FALSE	Alien Statue
FALSE	Ancient Earth Blade
FALSE	Doomsday Device
FALSE	Holographic Projector
FALSE	Nanobots
FALSE	Organic Matter Particulator
FALSE	Rudimentary Tablet
FALSE	Tracking Implant
FALSE	Translation Device
SCAN DATA (21)	
FALSE	Alien Arch
FALSE	Alien Flora Research
FALSE	Alien Robot
FALSE	Alien Thermal Plant
FALSE	Alien Vent
FALSE	Aquarium Arch
FALSE	Aquarium Pipe Access Point
FALSE	Blue Tablet
FALSE	Damaged Anchor Cable
FALSE	Energy Core
FALSE	Forcefield Control Terminal
FALSE	Ion Cube
FALSE	Ion Cube Fabricator
FALSE	Orange Tablet
FALSE	Production Line
FALSE	Purple Tablet
FALSE	Research Equipment
FALSE	Research Probes
FALSE	Self-Warping Quarantine Enforcer Unit
FALSE	Sonic Deterrent
FALSE	Warper Parts
TERMINAL DATA (14)	
FALSE	Alien Biological History
FALSE	Alien Data Terminal
FALSE	Alien Sanctuary Alpha
FALSE	Alien Sanctuary Beta
FALSE	Damage Report
FALSE	Enforcement Platform Schematic
FALSE	Enzyme 42 Project Data
FALSE	Fauna Reproductive Data
FALSE	Fossil Data
FALSE	Ion Power Data
FALSE	Kharaa Contagion Profile
FALSE	Sea Emperor Leviathan Research Data
FALSE	Specimen Research Data
FALSE	Ventilation Control
AURORA SURVIVORS (17)	
FALSE	Aurora Engineering Drone - Log
FALSE	Aurora Scanner Room Voice Log
FALSE	Captain's Log
FALSE	Lifepod 12 Medical Offier Danby's Crew Log
FALSE	Lifepod 13 Emissary's Voicelog
FALSE	Lifepod 17 Crew Log
FALSE	Lifepod 19 Second Officer Keen's Crew Log
FALSE	Lifepod 19 Second Officer Keen's Voicelog
FALSE	Lifepod 2 Chief Technical Officer Yu's Voicelog (T+2min)
FALSE	Lifepod 3 Crew Log
FALSE	Lifepod 4 Crew Log
FALSE	Lifepod 6 Crew Log #1
FALSE	Lifepod 6 Crew Log #2
FALSE	Lifepod 7 Crew Log
FALSE	Profitability Projections 
FALSE	Rendezvous Voicelog
FALSE	Surveillance Log, Leisure Deck B
CODES & CLUES (9)	
FALSE	Alien Facility Locations
FALSE	High Security Terminal - Captain's Quarters
FALSE	Lab Access
FALSE	Lifepod 4 Transmission Origin
FALSE	Lifepod 6 Transmission Origin
FALSE	Lifepod 7 Transmission Origin
FALSE	Notes to self
FALSE	Primary Containment Facility
FALSE	Sweet Offer
DEGASI SURVIVORS (21)	
ALTERRA SEARCH & RESCUE MISSION (4)	
FALSE	Aurora Auxiliary Mission Orders
FALSE	Degasi Crew Manifest: Bart Torgal
FALSE	Degasi Crew Manifest: Marguerit Maida
FALSE	Degasi Crew Manifest: Paul Torgal
FALSE	Bart Torgal's Log #1 - This World
FALSE	Bart Torgal's Log #2 - Stalker Teeth
FALSE	Bart Torgal's Log #3 - Return From the Deep
FALSE	Degasi Voice Log #1 - Habitation Location
FALSE	Degasi Voice Log #2 - Storm!
FALSE	Degasi Voice Log #3 - Aftermath
FALSE	Degasi Voice Log #4 - Curious Discovery
FALSE	Degasi Voice Log #5 - Pecking Order
FALSE	Degasi Voice Log #6 - Deeper?!
FALSE	Degasi Voice Log #7 - Malady
FALSE	Degasi Voice Log #8 - Risk Taking
FALSE	Degasi Voice Log #9 - Disaster
FALSE	Environment Log
FALSE	Marguerit Maida's Log - Speaking Freely
FALSE	Paul Torgal's Log #1 - Marooned
FALSE	Paul Torgal's Log #2 - Dilemma
FALSE	Paul Torgal's Log #3 - The End
OPERATIONS LOGS (4)	
FALSE	Alterra HQ - Last Recorded Transmissions
FALSE	Aurora Black Box Data
FALSE	Drive Core Shielding Breach
FALSE	VR Suite Log
PUBLIC DOCUMENTS (12)	
FALSE	Alterra Alms Pamphlet
FALSE	Alterra Citizen Testimonials
FALSE	Alterra Launches the Aurora
FALSE	Corporate Profile: Torgal Corp.
FALSE	Join Alterra's Board of Directors
FALSE	Relationship Contract Legal Recording
FALSE	Responsible Autonomous Relationships
FALSE	The Charter
FALSE	Today's Menu
FALSE	Trans-Gov Profile: Alterra Corp.
FALSE	Trans-Gov Profile: Mongolian Independent States
FALSE	What Can We Learn From the Hive Mind of Strader VI?
GEOLOGICAL DATA (12)	
FALSE	4546B Environment Scan
FALSE	Crater Edge
FALSE	Crystalline Sulfur
FALSE	Kyanite
FALSE	Limestone Outcrops
FALSE	Magnetite
FALSE	Nickel Ore
FALSE	Ruby
FALSE	Sandstone Outcrops
FALSE	Scattered Wreckage
FALSE	Shale Outcrops
FALSE	Uraninite
INDIGENOUS LIFEFORMS (111)	
CORAL (7)	
FALSE	Brain Coral
FALSE	Coral Shell Plate
FALSE	Earthen Coral Tubes
FALSE	Giant Coral Tubes
FALSE	Pyrocoral
FALSE	Table Coral
FALSE	Tree Mushrooms
FAUNA (58)	
CARNIVORES (14)	
FALSE	Ampeel
FALSE	Biter
FALSE	Blighter
FALSE	Boneshark
FALSE	Crabsnake
FALSE	Crabsquid
FALSE	Crashfish
FALSE	Lava Lizard
FALSE	Mesmer
FALSE	River Prowler
FALSE	Sand Shark
FALSE	Stalker
FALSE	Stalker Teeth
FALSE	Warper
DECEASED (7)	
FALSE	Ancient Fossilized Skeleton
FALSE	Gargantuan Fossil
FALSE	Mixed Leviathan Fossils
FALSE	Reaper Leviathan Skeleton
FALSE	Remains of Research Specimen
FALSE	Rib Cage Samples
FALSE	Sea Dragon Skeleton
HERBIVORES - LARGE (7)	
FALSE	Crimson Ray
FALSE	Cuddlefish
FALSE	Gasopod
FALSE	Ghostray
FALSE	Jellyray
FALSE	Rabbit Ray
FALSE	Skyray
HERBIVORES - SMALL (14)	
FALSE	Bladderfish
FALSE	Boomerang
FALSE	Eyeye
FALSE	Garryfish
FALSE	Holefish
FALSE	Hoopfish
FALSE	Hoverfish
FALSE	Magmarang
FALSE	Oculus
FALSE	Peeper
FALSE	Red Eyeye
FALSE	Reginald
FALSE	Spadefish
FALSE	Spinefish
LEVIATHANS (7)	
FALSE	Ghost Leviathan
FALSE	Ghost Leviathan Juvenile
FALSE	Reaper Leviathan
FALSE	Reefback Leviathan
FALSE	Sea Dragon Leviathan
FALSE	Sea Emperor Juvenile
FALSE	Sea Treader Leviathan
SCAVENGERS & PARASITES (9)	
FALSE	Amoeboid
FALSE	Ancient Floater
FALSE	Bleeder
FALSE	Blood Crawler
FALSE	Cave Crawler
FALSE	Floater
FALSE	Lava Larva
FALSE	Rockgrub
FALSE	Shuttlebug
FLORA (46)	
EXPLOITABLE (12)	
FALSE	Acid Mushroom
FALSE	Bloodroot
FALSE	Bloodvine
FALSE	Bulbo Tree
FALSE	Chinese Potato Plant
FALSE	Creepvine
FALSE	Creepvine Seeds
FALSE	Deep Shroom
FALSE	Gel Sack
FALSE	Lantern Tree
FALSE	Marblemelon Plant
FALSE	Sulfur Plant
LAND (7)	
FALSE	Fern Palm
FALSE	Grub Basket
FALSE	Jaffa Cup
FALSE	Ming Plant
FALSE	Pink Cap
FALSE	Speckled Rattler
FALSE	Voxel Shrub
SEA (27)	
FALSE	Anchor Pods
FALSE	Blue Palm
FALSE	Brine Lily
FALSE	Bulb Bush
FALSE	Cave Bush
FALSE	Crab Claw Kelp
FALSE	Drooping Stinger
FALSE	Eye Stalk
FALSE	Furled Papyrus
FALSE	Gabe's Feather
FALSE	Ghost Weed
FALSE	Giant Bulb Bush
FALSE	Giant Cove Tree
FALSE	Jellyshroom
FALSE	Membrain Tree
FALSE	Pygmy Fan
FALSE	Redwort
FALSE	Regress Shell
FALSE	Rouge Cradle
FALSE	Sea Crown
FALSE	Spiked Horn Grass
FALSE	Spotted Dockleaf
FALSE	Tiger Plant
FALSE	Tree Leech
FALSE	Veined Nettle
FALSE	Violet Beau
FALSE	Writhing Weed
SURVIVAL PACKAGE (6)	
TRUE	2-Berth Emergency Lifepod
TRUE	All-Environment Protection Suit
TRUE	Aurora Ship Status
TRUE	Start Here
TRUE	Survival Checklist
TRUE	WARNING: Blueprint Database Corrupted
